,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
104,0.7025976181030273,0.013481746782483348,0.004587697982788086,0.0004887531419829501,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
100,0.14411959648132325,0.0009431124260901884,0.004290151596069336,0.00039944781086540676,0.1,0.1,9,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9855623190690497,0.9541099348014381,0.9514352333621462,0.909282960101598,0.9927589409283457,0.9586298776525155,0.029656231798256712,41,-0.045079441786148915,-0.08676997198621042,-0.08711706505549141,-0.12286682412632052,-0.034491940858457366,-0.07526504876252572,0.03197617789250577,41
95,0.13574609756469727,0.0017386746151398485,0.004387950897216797,0.0004883441009155175,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9855623190690497,0.9541099348014381,0.9514352333621462,0.909282960101598,0.9927589409283457,0.9586298776525155,0.029656231798256712,41,-0.045079441786148915,-0.08676997198621042,-0.08711706505549141,-0.12286682412632052,-0.034491940858457366,-0.07526504876252572,0.03197617789250577,41
54,0.6591697692871094,0.008399027707921027,0.004784059524536133,0.00039755222200194435,0.01,1,6,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",0.9638280879789893,0.9588186445107866,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.95825608606924,0.025660812400037383,43,-0.07135354301805527,-0.08219784630113527,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07565883584559122,0.030444383849467325,43
53,0.5270177364349365,0.007711415733405934,0.0043888092041015625,0.0004886168066383401,0.01,1,6,400,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 400}",0.9638280879789893,0.9588186445107866,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.95825608606924,0.025660812400037383,43,-0.07135354301805527,-0.08219784630113527,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07565883584559122,0.030444383849467325,43
52,0.40165090560913086,0.006603270615822966,0.004587793350219726,0.0004886360620900065,0.01,1,6,300,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 300}",0.9638280879789893,0.9588186445107866,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.95825608606924,0.025660812400037383,43,-0.07135354301805527,-0.08219784630113527,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07565883584559122,0.030444383849467325,43
50,0.14010148048400878,0.0037991963890136966,0.004392385482788086,0.00048527469495686577,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.9638280879789893,0.9588186445107866,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.95825608606924,0.025660812400037383,43,-0.07135354301805527,-0.08219784630113527,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07565883584559122,0.030444383849467325,43
51,0.2688919544219971,0.0037575267338219296,0.004696893692016602,0.0004001501800368339,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.9638280879789893,0.9588186445107866,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.95825608606924,0.025660812400037383,43,-0.07135354301805527,-0.08219784630113527,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07565883584559122,0.030444383849467325,43
58,0.612985372543335,0.017941014832903873,0.004588079452514648,0.0004881883044740755,0.01,1,9,400,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 400}",0.9638280879789893,0.9586034990008677,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.9582130569672562,0.025660013372468773,48,-0.07135354301805527,-0.0824122814504479,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07570172287545375,0.030453714759227406,48
57,0.45380825996398927,0.005942483164407356,0.004388570785522461,0.00048813023597502904,0.01,1,9,300,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 300}",0.9638280879789893,0.9586034990008677,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.9582130569672562,0.025660013372468773,48,-0.07135354301805527,-0.0824122814504479,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07570172287545375,0.030453714759227406,48
56,0.3058937072753906,0.003618104634406442,0.004388666152954102,0.0004886361551546292,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.9638280879789893,0.9586034990008677,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.9582130569672562,0.025660013372468773,48,-0.07135354301805527,-0.0824122814504479,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07570172287545375,0.030453714759227406,48
55,0.15719227790832518,0.002052660850882518,0.003989410400390625,7.893059424041199e-07,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.9638280879789893,0.9586034990008677,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.9582130569672562,0.025660013372468773,48,-0.07135354301805527,-0.0824122814504479,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07570172287545375,0.030453714759227406,48
59,0.7550395965576172,0.012274097261086017,0.004987049102783203,4.1019083342755444e-07,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.9638280879789893,0.9586034990008677,0.9560261646950798,0.9160022335095759,0.9966052996517685,0.9582130569672562,0.025660013372468773,48,-0.07135354301805527,-0.0824122814504479,-0.08289717970569761,-0.11822901367686547,-0.02361659652620246,-0.07570172287545375,0.030453714759227406,48
84,0.6309416770935059,0.009401190077324236,0.0047872066497802734,0.00039935136197210923,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9833170194202884,0.9539637947375063,0.9510762718427113,0.9090335428134348,0.9924843011747357,0.9579749859977353,0.02929866299084764,53,-0.04845812789346265,-0.08690802463121933,-0.08743843076390982,-0.1230356131163245,-0.03513996072502843,-0.07619603142598895,0.03127323772176398,53
89,0.6610878944396973,0.007644984759269401,0.004588079452514648,0.000798082529747061,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9833170194202884,0.9539637947375063,0.9510762718427113,0.9090335428134348,0.9924843011747357,0.9579749859977353,0.02929866299084764,53,-0.04845812789346265,-0.08690802463121933,-0.08743843076390982,-0.1230356131163245,-0.03513996072502843,-0.07619603142598895,0.03127323772176398,53
83,0.4990950584411621,0.007634894191258263,0.004787349700927734,0.00039858842298215317,0.1,0.01,6,400,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 400}",0.9832033770164332,0.9536921539081531,0.9507544286252086,0.9094006073048398,0.992428373734093,0.9578957881177456,0.029166506966935433,55,-0.04862289317152946,-0.08716405187296654,-0.08772556480519371,-0.12278712781021975,-0.035270463923882,-0.0763140203167583,0.031173925952402995,55
